Company,Ticker,Sector,Market Cap,num. of employees,revenue,profit,city,state,newcomer,ceo_founder,ceo_woman,profitable,prev_rank,CEO,rank,rank_change,Website
Motorola Solutions,MSI,Technology,40555.9,18700,8171,1245,Chicago,IL,no,no,no,yes,395,Gregory Q. Brown,423,-28,https://www.motorolasolutions.com
Zillow Group,ZG,Technology,12287.1,8005,8147.4,-527.8,Seattle,WA,yes,yes,no,no, ,Richard N. Barton,424,0,https://www.zillowgroup.com
Opendoor Technologies,OPEN,Technology,5364.1,2816,8021,-662,San Francisco,CA,yes,yes,no,no, ,Eric Wu,425,0,https://www.opendoor.com
J.M. Smucker,SJM,"Food, Beverages & Tobacco",14686.4,7100,8002.7,876.3,Orrville,OH,no,no,no,yes,378,Mark T. Smucker,426,-48,https://www.jmsmucker.com
Anywhere Real Estate,HOUS,Financials,1852.1,9748,7983,343,Madison,NJ,no,no,no,yes,445,Ryan M. Schneider,427,18,https://www.realogy.com
Oshkosh,OSK,Industrials,6703.7,15000,7952.5,409.4,Oshkosh,WI,no,no,no,yes,422,John C. Pfeifer,428,-6,https://www.oshkoshcorp.com
MasTec,MTZ,Engineering & Construction,6657,27000,7951.8,328.8,Coral Gables,FL,no,no,no,yes,441,José R. Mas,429,12,https://www.mastec.com
GXO Logistics,GXO,Transportation,8193,97500,7940,153,Greenwich,CT,yes,no,no,yes, ,Malcolm Wilson,430,0,https://www.gxo.com
APA,APA,Energy,14332.3,2253,7928,973,Houston,TX,yes,no,no,yes, ,John J. Christmann IV,431,0,https://www.apacorp.com
Boise Cascade,BCC,Wholesalers,2405,6130,7926.1,712.5,Boise,ID,no,no,no,yes,493,Nathan Jorgensen,432,61,https://www.bc.com
Dover,DOV,Industrials,22610.3,25000,7907.1,1123.8,Downers Grove,IL,no,no,no,yes,429,Richard J. Tobin,433,-4,https://www.dovercorporation.com
Genworth Financial,GNW,Financials,1917.9,2500,7882,904,Richmond,VA,no,no,no,yes,348,Thomas J. McInerney,434,-86,https://www.genworth.com
Bath & Body Works,BBWI,Retailing,11419.9,32850,7881.5,1333.5,Columbus,OH,no,no,yes,yes,257,Sarah E. Nash,435,-178,https://www.bbwinc.com
Booz Allen Hamilton Holding,BAH,Technology,11705.4,27700,7858.9,609,McLean,VA,no,no,no,yes,391,Horacio D. Rozanski,436,-45,https://www.boozallen.com
Coinbase Global,COIN,Financials,41670.4,3730,7839.4,3624.1,Wilmington,DE,yes,yes,no,yes, ,Brian Armstrong,437,0,https://www.coinbase.com
Zimmer Biomet Holdings,ZBH,Health Care,26772.3,19500,7836.2,401.6,Warsaw,IN,no,no,no,yes,414,Bryan C. Hanson,438,-24,https://www.zimmerbiomet.com
Westinghouse Air Brake Technologies,WAB,Industrials,17819.4,25000,7822,558,Pittsburgh,PA,no,no,no,yes,384,Rafael O. Santana,439,-55,https://www.wabteccorp.com
Zoetis,ZTS,Health Care,69420,12100,7776,2037,Parsippany,NJ,no,no,yes,yes,431,Kristin Peck,440,-9,https://www.zoetis.com
Packaging Corp. of America,PKG,Materials,14628.1,15200,7730.3,841.1,Lake Forest,IL,no,no,no,yes,433,Mark W. Kowlzan,441,-8,https://www.packagingcorp.com
LPL Financial Holdings,LPLA,Financials,14608.8,5919,7720.8,459.9,San Diego,CA,no,no,no,yes,466,Dan H. Arnold,442,24,https://www.lpl.com
T. Rowe Price,TROW,Financials,34442.6,7529,7671.9,3082.9,Baltimore,MD,no,no,no,yes,447,Robert W. Sharps,443,4,https://www.troweprice.com
Fortune Brands Home & Security,FBHS,Household Products,9830.7,28056,7656.1,772.4,Deerfield,IL,no,no,no,yes,456,Nicholas I. Fink,444,12,https://www.fbhs.com
Casey's General Stores,CASY,Retailing,7354.4,27583,7654.2,312.9,Ankeny,IA,no,no,no,yes,371,Darren M. Rebelez,445,-74,https://www.caseys.com
A-Mark Precious Metals,AMRK,Wholesalers,890.5,347,7613,159.6,El Segundo,CA,no,no,no,yes,495,Gregory N. Roberts,446,49,https://www.amark.com
Hess,HES,Energy,33155.2,1545,7583,559,New York,NY,yes,no,no,yes, ,John B. Hess,447,0,https://www.hess.com
Vertex Pharmaceuticals,VRTX,Health Care,66436.9,3900,7574.4,2342.1,Boston,MA,no,no,yes,yes,448,Reshma Kewalramani,448,0,https://www.vrtx.com
KeyCorp,KEY,Financials,20592.5,16974,7561,2625,Cleveland,OH,no,no,no,yes,396,Christopher M. Gorman,449,-53,https://www.key.com
Chipotle,CMG,"Hotels, Restaurants & Leisure",41724,97660,7547.1,653,Newport Beach,CA,no,no,no,yes,464,Brian Niccol,450,14,https://www.chipotle.com
CMS Energy,CMS,Energy,20292.2,8813,7538,1353,Jackson,MI,no,no,no,yes,430,Garrick J. Rochow,451,-21,https://www.cmsenergy.com
Arconic,ARNC,Materials,2690.7,13900,7504,-397,Pittsburgh,PA,no,no,no,no,476,Timothy D. Myers,452,24,https://www.arconic.com
Taylor Morrison Home,TMHC,Engineering & Construction,3301.6,3000,7501.3,663,Scottsdale,AZ,no,no,yes,yes,452,Sheryl D. Palmer,453,-1,https://www.taylormorrison.com
American Financial Group,AFG,Financials,12367.8,6600,7462,1995,Cincinnati,OH,no,no,no,yes,376,Carl H. Lindner lll/S. Craig Lindner,454,-78,https://www.afginc.com
UGI,UGI,Energy,7599.1,11300,7447,1467,King of Prussia,PA,no,no,no,yes,436,Roger Perreault,455,-19,https://www.ugicorp.com
Science Applications International,SAIC,Technology,5166.1,25090,7394,277,Reston,VA,no,no,yes,yes,412,Nazzic S. Keene,456,-44,https://www.saic.com
Avantor,AVTR,Technology,20629.1,13500,7386.1,572.6,Radnor,PA,no,no,no,yes,438,Michael Stubblefield,457,-19,https://www.avantorsciences.com
Hanesbrands,HBI,Apparel,5191.4,58000,7347.8,77.2,Winston-Salem,NC,no,no,no,yes,432,Stephen B. Bratspies,458,-26,https://www.hanes.com
Clorox,CLX,Household Products,17108.7,9000,7341,710,Oakland,CA,no,no,yes,yes,427,Linda Rendle,459,-32,https://www.thecloroxcompany.com
KBR,KBR,Engineering & Construction,7634.9,28000,7339,18,Houston,TX,no,no,no,yes,470,Stuart J.B. Bradie,460,10,https://www.kbr.com
TravelCenters of America,TA,Retailing,637.5,16540,7336.8,58.5,Westlake,OH,yes,no,no,yes, ,Jonathan M. Pertchik,461,0,https://www.ta-petro.com
Hertz Global Holdings,HTZ,Retailing,9508.9,23000,7336,366,Estero,FL,yes,no,no,yes, ,Stephen M. Scherr,462,0,https://www.hertz.com
Analog Devices,ADI,Technology,86441.2,24700,7318.3,1390.4,Wilmington,MA,no,no,no,yes,481,Vincent T. Roche,463,18,https://www.analog.com
Securian Financial Group,dfsfs,Financials,38484,6941,7317.4,311.5,St. Paul,MN,no,no,no,yes,421,Christopher M. Hilger,464,-43,https://www.securian.com
Darden Restaurants,DRI,"Hotels, Restaurants & Leisure",16980.9,156883,7196.1,629.3,Orlando,FL,no,no,no,yes,377,Ricardo Cardenas,465,-88,https://www.darden.com
NCR,NCR,Technology,5474.7,38000,7156,97,Atlanta,GA,no,no,no,yes,446,Michael D. Hayford,466,-20,https://www.ncr.com
Graphic Packaging Holding,GPK,Materials,6154.4,25000,7156,204,Atlanta,GA,no,no,no,yes,435,Michael P. Doss,466,-31,https://www.graphicpkg.com
Brighthouse Financial,BHF,Financials,3958.7,1500,7142,-108,Charlotte,NC,no,no,no,no,353,Eric T. Steigerwalt,468,-115,https://www.brighthousefinancial.com
PPL,PPL,Energy,21001.9,5607,7127,-1480,Allentown,PA,no,no,no,no,382,Vincent Sorgi,469,-87,https://www.pplweb.com
Cintas,CTAS,Business Services,43566.7,40000,7116.3,1111,Cincinnati,OH,no,no,no,yes,410,Todd M. Schneider,470,-60,https://www.cintas.com
Xerox Holdings,XRX,Technology,3123.3,23300,7038,-455,Norwalk,CT,no,no,no,no,415,Steve Bandrowczak,471,-56,https://www.xerox.com
Rockwell Automation,ROK,Industrials,32538.4,24500,6997.4,1358.1,Milwaukee,WI,no,no,no,yes,440,Blake D. Moret,472,-32,https://www.rockwellautomation.com
Citizens Financial Group,CFG,Financials,19135.7,17463,6986,2319,Providence,RI,no,no,no,yes,381,Bruce W. Van Saun,473,-92,https://www.citizensbank.com
KLA,KLAC,Technology,55170.9,11425,6918.7,2078.3,Milpitas,CA,no,no,no,yes,468,Richard P. Wallace,474,-6,https://www.kla.com
Camping World Holdings,CWH,Retailing,2664.6,12834,6913.8,278.5,Lincolnshire,IL,no,no,no,yes,496,Marcus A. Lemonis,475,21,https://www.campingworld.com
Ingredion,INGR,"Food, Beverages & Tobacco",5814.2,12000,6894,117,Westchester,IL,no,no,no,yes,463,James P. Zallie,476,-13,https://www.ingredion.com
Veritiv,VRTV,Wholesalers,2008,6100,6850.5,144.6,Atlanta,GA,no,no,no,yes,439,Salvatore A. Abbate,477,-38,https://www.veritivcorp.com
Beacon Roofing Supply,BECN,Wholesalers,4175.9,6676,6820.4,243,Herndon,VA,no,no,no,yes,420,Julian G. Francis,478,-58,https://www.becn.com
Diamondback Energy,FANG,Energy,24320,870,6797,2182,Midland,TX,yes,no,no,yes, ,Travis D. Stice,479,0,https://www.diamondbackenergy.com
Victoria's Secret,VSCO,Retailing,4330.4,24000,6784.6,646.4,Reynoldsburg,OH,yes,no,no,yes, ,Martin P. Waters,480,0,https://www.victoriassecretandco.com
Academy Sports and Outdoors,ASO,Retailing,3433.5,16508,6773.1,671.4,Katy,TX,no,no,no,yes,475,Ken C. Hicks,481,-6,https://www.academy.com
Sanmina,SANM,Technology,2569,33500,6756.6,269,San Jose,CA,no,yes,no,yes,418,Jure Sola,482,-64,https://www.sanmina.com
ON Semiconductor,ON,Technology,27078.7,31650,6739.8,1009.6,Phoenix,AZ,yes,no,no,yes, ,Hassane S. El-Khoury,483,0,https://www.onsemi.com
Commercial Metals,CMC,Materials,5056.7,11089,6729.8,412.9,Irving,TX,no,no,yes,yes,492,Barbara R. Smith,484,8,https://www.cmc.com
EnLink Midstream,ENLC,Energy,4670.6,1073,6685.9,22.4,Dallas,TX,yes,no,no,yes, ,Jesse Arenivas,485,0,https://www.enlink.com
Southwestern Energy,SWN,Energy,7989.7,938,6667,-25,Spring,TX,yes,no,no,no, ,William J. Way,486,0,https://www.swn.com
Equinix,EQIX,Financials,67280.5,10944,6635.5,500.2,Redwood City,CA,no,no,no,yes,461,Charles J. Meyers,487,-26,https://www.equinix.com
Dillard&#8217;s,DDS,Retailing,4928.2,25350,6624.3,862.5,Little Rock,AR,yes,no,no,yes, ,William T. Dillard II,488,0,https://www.dillards.com
Regions Financial,RF,Financials,20860.9,19626,6605,2521,Birmingham,AL,no,no,no,yes,434,John M. Turner Jr.,489,-55,https://www.regions.com
Yum Brands,YUM,"Hotels, Restaurants & Leisure",34252.9,25650,6584,1575,Louisville,KY,no,no,no,yes,478,David W. Gibbs,490,-12,https://www.yum.com
Landstar System,LSTR,Transportation,5600,1399,6540.4,381.5,Jacksonville,FL,yes,no,no,yes, ,James B. Gattoni,491,0,https://www.landstar.com
CF Industries Holdings,CF,Chemicals,21551.3,3003,6538.3,917.1,Deerfield,IL,yes,no,no,yes, ,W. Anthony Will,492,0,https://www.cfindustries.com
Northern Trust,NTRS,Financials,24215.1,21100,6488.3,1545.3,Chicago,IL,no,no,no,yes,443,Michael G. O&#039;Grady,493,-50,https://www.northerntrust.com
Robert Half International,RHI,Business Services,12638.1,14600,6461.4,598.6,Menlo Park,CA,yes,no,no,yes, ,M. Keith Waddell,494,0,https://www.roberthalf.com
Compass,COMP,Technology,3358.8,4775,6421,-494.1,New York,NY,yes,yes,no,no, ,Robert L. Reffkin,495,0,https://www.compass.com
Hasbro,HAS,Household Products,11383.6,6640,6420.4,428.7,Pawtucket,RI,no,no,no,yes,494,Christian Cocks,496,-2,https://www.hasbro.com
Roper Technologies,ROP,Technology,49868.8,19300,6415.8,1152.6,Sarasota,FL,no,no,no,yes,488,L. Neil Hunn,497,-9,https://www.ropertech.com
ARKO,ARKO,Retailing,1133.9,11236,6412.6,59.2,Richmond,VA,yes,no,no,yes, ,Arie Kotler,498,0,https://www.arkocorp.com
Frontier Communications,FYBR,Telecommunications,6763.1,15640,6411,,Norwalk,CT,no,no,no,no,402,Nick Jeffery,499,-97,https://www.frontier.com
Ameren,AEE,Energy,24198.7,9116,6394,990,St. Louis,MO,no,no,no,yes, ,Martin J. Lyons Jr.,500,-31,https://www.ameren.com
O-I Glass,OI,Materials,2058,24000,6357,149,Perrysburg,OH,no,no,no,yes, ,Andres A. Lopez,501,0,https://www.o-i.com
Chemours,CC,Chemicals,5015,6400,6345,608,Wilmington,DE,no,no,no,yes, ,Mark E. Newman,502,0,https://www.chemours.com
Crown Castle International,CCI,Financials,79937.3,5000,6340,1096,Houston,TX,no,no,no,yes, ,Jay A. Brown,503,0,https://www.crowncastle.com
Agilent Technologies,A,Technology,39714,17000,6319,1210,Santa Clara,CA,no,no,no,yes, ,Michael R. McMullen,504,0,https://www.agilent.com
McCormick,MKC,"Food, Beverages & Tobacco",19156,14000,6317.9,755.3,Hunt Valley,MD,no,no,no,yes, ,Lawrence Kurzius,505,0,https://www.mccormickcorporation.com
Skechers U.S.A.,SKX,Apparel,6360.4,8950,6310.2,741.5,Manhattan Beach,CA,no,yes,no,yes, ,Robert Greenberg,506,0,https://www.skechers.com
Watsco,WSO,Wholesalers,11842.6,6875,6280.2,418.9,Miami,FL,no,no,no,yes, ,Albert H. Nahmad,507,0,https://www.watsco.com
Live Nation Entertainment,LYV,Media,26425,16200,6268.4,-650.9,Beverly Hills,CA,no,no,no,no, ,Michael Rapino,508,0,https://www.livenationentertainment.com
Lululemon athletica,LULU,Retailing,46717.8,29000,6256.6,975.3,Sumner,WA,no,no,no,yes, ,Calvin McDonald,509,0,https://www.lululemon.com
ABM Industries,ABM,Business Services,3078.7,124000,6228.6,126.3,New York,NY,no,no,no,yes, ,Scott B. Salmirs,510,0,https://www.abm.com
Post Holdings,POST,"Food, Beverages & Tobacco",4284.4,10735,6226.7,166.7,St. Louis,MO,no,no,no,yes, ,Robert V. Vitale,511,0,https://www.postholdings.com
Moody's,MCO,Business Services,62548.1,13460,6218,2214,New York,NY,no,no,no,yes, ,Robert S. Fauber,512,0,https://www.moodys.com
Select Medical Holdings,SEM,Health Care,3208.6,43200,6204.5,402.2,Mechanicsburg,PA,no,no,no,yes, ,David S. Chernow,513,0,https://www.selectmedicalholdings.com
Alaska Air Group,ALK,Transportation,7314.3,21691,6176,478,Seattle,WA,no,no,no,yes, ,Benito Minicucci,514,0,https://www.alaskaair.com
Big Lots,BIG,Retailing,988.1,23350,6150.6,177.8,Columbus,OH,no,no,no,yes, ,Bruce K. Thorn,515,0,https://www.biglots.com
Amkor Technology,AMKR,Technology,5313,30400,6138.3,643,Tempe,AZ,no,no,no,yes, ,Guillaume Marie Jean Rutten,516,0,https://www.amkor.com
Sinclair Broadcast Group,SBGI,Media,2008.1,11500,6134,-414,Hunt Valley,MD,no,no,no,no, ,Christopher S. Ripley,517,0,https://www.sbgi.net
RPM International,RPM,Chemicals,10560.8,15490,6106.3,502.6,Medina,OH,no,no,no,yes, ,Frank C. Sullivan,518,0,https://www.rpminc.com
M&T Bank,MTB,Financials,21875,17342,6105.8,1858.7,Buffalo,NY,no,no,no,yes, ,René F. Jones,519,0,https://www.mtb.com
Sprouts Farmers Market,SFM,Food & Drug Stores,3546.8,31000,6099.9,244.2,Phoenix,AZ,no,no,no,yes, ,Jack L. Sinclair,520,0,https://www.sprouts.com
Huntington Bancshares,HBAN,Financials,21123.4,18442,6080,1295,Columbus,OH,no,no,no,yes, ,Stephen D. Steinour,521,0,https://www.huntington.com
CACI International,CACI,Technology,7051.2,22000,6044.1,457.4,Reston,VA,no,no,no,yes, ,John S. Mengucci,522,0,https://www.caci.com
JetBlue Airways,JBLU,Transportation,4786.9,17459,6037,-182,Long Island City,NY,no,no,no,no, ,Robin Hayes,523,0,https://www.jetblue.com
SVB Financial Group,SIVB,Financials,32901,6567,6027,1833,Santa Clara,CA,no,no,no,yes, ,Gregory W. Becker,524,0,https://www.svb.com
Fastenal,FAST,Wholesalers,34187.9,18370,6010.9,925,Winona,MN,no,no,no,yes, ,Daniel L. Florness,525,0,https://www.fastenal.com
GameStop,GME,Retailing,12716.6,22500,6010.7,-381.3,Grapevine,TX,no,no,no,no, ,Matthew Furlong,526,0,https://www.gamestop.com
Knight-Swift Transportation Holdings,KNX,Transportation,8386,27650,5998,743.4,Phoenix,AZ,no,no,no,yes, ,David A. Jackson,527,0,https://www.knighttrans.com
Airbnb,ABNB,Technology,110419.9,6132,5991.8,-352,San Francisco,CA,no,yes,no,no, ,Brian Chesky,528,0,https://www.airbnb.com
Patterson,PDCO,Health Care,3160,7800,5912.1,156,St. Paul,MN,no,no,no,yes, ,Mark S. Walchirk,529,0,https://www.pattersoncompanies.com
PENN Entertainment,PENN,"Hotels, Restaurants & Leisure",7140.2,21973,5905,420.8,Wyomissing,PA,no,no,no,yes, ,Jay A. Snowden,530,0,https://www.pennentertainment.com
ServiceNow,NOW,Technology,70419,16881,5896,230,Santa Clara,CA,no,no,no,yes, ,William McDermott,531,0,https://www.servicenow.com
Nasdaq,NDAQ,Financials,29298.2,5814,5886,1187,New York,NY,no,no,yes,yes, ,Adena T. Friedman,532,0,https://www.nasdaq.com
Brunswick,BC,Transportation,6197.3,18582,5846.2,593.3,Mettawa,IL,no,no,no,yes, ,David M. Foulkes,533,0,https://www.brunswick.com
Resideo Technologies,REZI,Materials,3455.8,13300,5846,242,Scottsdale,AZ,no,no,no,yes, ,Jay L. Geldmacher,534,0,https://www.resideo.com
Chesapeake Energy,CHK,Energy,11135.9,1300,5809,,Oklahoma City,OK,no,no,no,no, ,Domenic J. Dell&#039;Osso Jr.,535,0,https://www.chk.com
Petco Health and Wellness,WOOF,Retailing,5930.2,28495,5807.1,164.4,San Diego,CA,no,no,no,yes, ,Ronald Coughlin Jr.,536,0,https://www.petco.com
Kemper,KMPR,Financials,3606,10300,5793,-120.5,Chicago,IL,no,no,no,no, ,Joseph P. Lacher Jr.,537,0,https://www.kemper.com
Hilton Worldwide Holdings,HLT,"Hotels, Restaurants & Leisure",42356.6,142000,5788,410,McLean,VA,no,no,no,yes, ,Christopher J. Nassetta,538,0,https://www.hilton.com
Cerner,dfsfs,Health Care,27492.2,25150,5764.8,555.6,North Kansas City,MO,no,no,no,yes, ,David T. Feinberg,539,0,https://www.cerner.com
Levi Strauss,LEVI,Apparel,5740,16600,5763.9,553.5,San Francisco,CA,no,no,no,yes, ,Charles Bergh,540,0,https://www.levistrauss.com
Tapestry,TPR,Apparel,9807.2,14250,5746.3,834.2,New York,NY,no,no,yes,yes, ,Joanne C. Crevoiserat,541,0,https://www.tapestry.com
NetApp,NTAP,Technology,18470.5,11000,5744,730,San Jose,CA,no,no,no,yes, ,George Kurian,542,0,https://www.netapp.com
KB Home,KBH,Engineering & Construction,2858.1,2244,5724.9,564.7,Los Angeles,CA,no,no,no,yes, ,Jeffrey T. Mezger,543,0,https://www.kbhome.com
Continental Resources,CLR,Energy,22342.4,1254,5719.3,1661,Oklahoma City,OK,no,no,no,yes, ,William B. Berry,544,0,https://www.clr.com
Intuitive Surgical,ISRG,Health Care,108361.9,9793,5710.1,1704.6,Sunnyvale,CA,no,no,no,yes, ,Gary S. Guthart,545,0,https://www.intuitive.com
Under Armour,UAA,Apparel,7712.4,12300,5683.5,360.1,Baltimore,MD,no,no,no,yes, ,Colin Browne,546,0,https://https://about.underarmour.com
MDU Resources Group,MDU,Energy,5419.3,12826,5680.7,378.1,Bismarck,ND,no,no,no,yes, ,David L. Goodin,547,0,https://www.mdu.com
Silgan Holdings,SLGN,Materials,5104.3,15720,5677.1,359.1,Stamford,CT,no,no,no,yes, ,Adam J. Greenlee,548,0,https://www.silganholdings.com
Ryerson Holding,RYI,Materials,1344.6,4000,5675.3,294.3,Chicago,IL,no,no,no,yes, ,Edward J. Lehner,549,0,https://www.ryerson.com
Ingersoll Rand,IR,Industrials,20541.2,16000,5655.2,562.5,Davidson,NC,no,no,no,yes, ,Vicente Reynal,550,0,https://www.irco.com
Hologic,HOLX,Health Care,16063,6705,5632.3,1871.5,Marlborough,MA,no,no,no,yes, ,Stephen MacMillan,551,0,https://www.hologic.com
Electronic Arts,EA,Media,35577.4,11000,5629,837,Redwood City,CA,no,no,no,yes, ,Andrew Wilson,552,0,https://www.ea.com
